;activation;dense;layers;ngrams;regularization;precision;recall;f1-score
164;hard_sigmoid;30;6;4;0,2;0,709;0,699;0,694
165;relu;30;6;4;0;0,712;0,686;0,674
166;relu;30;6;4;0,1;0,706;0,706;0,706
167;relu;30;6;4;0,2;0,702;0,702;0,702
168;tanh;60;6;4;0;0,695;0,691;0,688
169;tanh;60;6;4;0,1;0,700;0,683;0,674
170;tanh;60;6;4;0,2;0,697;0,690;0,686
171;sigmoid;60;6;4;0;0,720;0,720;0,719
172;sigmoid;60;6;4;0,1;0,715;0,711;0,709
173;sigmoid;60;6;4;0,2;0,712;0,709;0,708
174;hard_sigmoid;60;6;4;0;0,728;0,718;0,713
175;hard_sigmoid;60;6;4;0,1;0,713;0,711;0,710
176;hard_sigmoid;60;6;4;0,2;0,705;0,705;0,704
177;relu;60;6;4;0;0,719;0,705;0,699
178;relu;60;6;4;0,1;0,707;0,705;0,704
179;relu;60;6;4;0,2;0,712;0,710;0,708
180;tanh;15;10;4;0;0,704;0,698;0,695
181;tanh;15;10;4;0,1;0,701;0,699;0,697
182;tanh;15;10;4;0,2;0,690;0,683;0,680
183;sigmoid;15;10;4;0;0,721;0,717;0,715
184;sigmoid;15;10;4;0,1;0,729;0,718;0,714
185;sigmoid;15;10;4;0,2;0,711;0,711;0,710
186;hard_sigmoid;15;10;4;0;0,724;0,715;0,711
187;hard_sigmoid;15;10;4;0,1;0,727;0,727;0,727
188;hard_sigmoid;15;10;4;0,2;0,711;0,704;0,700
189;relu;15;10;4;0;0,720;0,717;0,716
190;relu;15;10;4;0,1;0,731;0,724;0,721
191;relu;15;10;4;0,2;0,718;0,716;0,715
192;tanh;30;10;4;0;0,705;0,705;0,705
193;tanh;30;10;4;0,1;0,706;0,704;0,702
194;tanh;30;10;4;0,2;0,688;0,685;0,683
195;sigmoid;30;10;4;0;0,724;0,721;0,719
196;sigmoid;30;10;4;0,1;0,713;0,713;0,713
197;sigmoid;30;10;4;0,2;0,712;0,711;0,710
198;hard_sigmoid;30;10;4;0;0,723;0,719;0,717
199;hard_sigmoid;30;10;4;0,1;0,721;0,707;0,701
200;hard_sigmoid;30;10;4;0,2;0,710;0,710;0,710
201;relu;30;10;4;0;0,717;0,703;0,698
202;relu;30;10;4;0,1;0,725;0,725;0,725
203;relu;30;10;4;0,2;0,716;0,710;0,708
204;tanh;60;10;4;0;0,715;0,709;0,706
205;tanh;60;10;4;0,1;0,708;0,707;0,707
206;tanh;60;10;4;0,2;0,691;0,680;0,674
207;sigmoid;60;10;4;0;0,728;0,722;0,719
208;sigmoid;60;10;4;0,1;0,723;0,712;0,708
209;sigmoid;60;10;4;0,2;0,716;0,716;0,716
210;hard_sigmoid;60;10;4;0;0,723;0,723;0,723
211;hard_sigmoid;60;10;4;0,1;0,720;0,717;0,715
212;hard_sigmoid;60;10;4;0,2;0,704;0,705;0,704
213;relu;60;10;4;0;0,723;0,708;0,702
214;relu;60;10;4;0,1;0,720;0,714;0,711
215;relu;60;10;4;0,2;0,708;0,708;0,707
216;tanh;15;3;5;0;0,698;0,698;0,698
217;tanh;15;3;5;0,1;0,682;0,658;0,644
218;tanh;15;3;5;0,2;0,679;0,674;0,671
219;sigmoid;15;3;5;0;0,720;0,715;0,713
220;sigmoid;15;3;5;0,1;0,705;0,705;0,704
221;sigmoid;15;3;5;0,2;0,702;0,696;0,693
222;hard_sigmoid;15;3;5;0;0,709;0,707;0,705
223;hard_sigmoid;15;3;5;0,1;0,710;0,710;0,710
224;hard_sigmoid;15;3;5;0,2;0,705;0,701;0,699
225;relu;15;3;5;0;0,709;0,705;0,702
226;relu;15;3;5;0,1;0,704;0,704;0,704
227;relu;15;3;5;0,2;0,692;0,686;0,683
228;tanh;30;3;5;0;0,698;0,678;0,668
229;tanh;30;3;5;0,1;0,685;0,684;0,684
230;tanh;30;3;5;0,2;0,683;0,673;0,668
231;sigmoid;30;3;5;0;0,713;0,712;0,711
232;sigmoid;30;3;5;0,1;0,714;0,708;0,705
233;sigmoid;30;3;5;0,2;0,708;0,703;0,701
234;hard_sigmoid;30;3;5;0;0,716;0,715;0,714
235;hard_sigmoid;30;3;5;0,1;0,704;0,694;0,689
236;hard_sigmoid;30;3;5;0,2;0,710;0,707;0,706
237;relu;30;3;5;0;0,729;0,684;0,666
238;relu;30;3;5;0,1;0,714;0,708;0,705
239;relu;30;3;5;0,2;0,701;0,699;0,697
240;tanh;60;3;5;0;0,695;0,695;0,695
241;tanh;60;3;5;0,1;0,693;0,693;0,693
242;tanh;60;3;5;0,2;0,687;0,677;0,671
243;sigmoid;60;3;5;0;0,721;0,716;0,714
244;sigmoid;60;3;5;0,1;0,713;0,712;0,711
245;sigmoid;60;3;5;0,2;0,708;0,702;0,700
246;hard_sigmoid;60;3;5;0;0,714;0,715;0,714
247;hard_sigmoid;60;3;5;0,1;0,718;0,704;0,698
248;hard_sigmoid;60;3;5;0,2;0,708;0,698;0,693
249;relu;60;3;5;0;0,713;0,698;0,694
250;relu;60;3;5;0,1;0,706;0,705;0,704
251;relu;60;3;5;0,2;0,709;0,706;0,704
252;tanh;15;6;5;0;0,696;0,695;0,694
253;tanh;15;6;5;0,1;0,702;0,702;0,702
254;tanh;15;6;5;0,2;0,685;0,673;0,666
255;sigmoid;15;6;5;0;0,716;0,716;0,716
256;sigmoid;15;6;5;0,1;0,714;0,714;0,713
257;sigmoid;15;6;5;0,2;0,707;0,705;0,703
258;hard_sigmoid;15;6;5;0;0,727;0,727;0,727
259;hard_sigmoid;15;6;5;0,1;0,716;0,716;0,716
260;hard_sigmoid;15;6;5;0,2;0,714;0,713;0,713
261;relu;15;6;5;0;0,722;0,716;0,713
262;relu;15;6;5;0,1;0,729;0,729;0,729
263;relu;15;6;5;0,2;0,710;0,708;0,707
264;tanh;30;6;5;0;0,706;0,702;0,700
265;tanh;30;6;5;0,1;0,693;0,693;0,693
266;tanh;30;6;5;0,2;0,683;0,672;0,666
267;sigmoid;30;6;5;0;0,723;0,723;0,723
268;sigmoid;30;6;5;0,1;0,719;0,717;0,717
269;sigmoid;30;6;5;0,2;0,706;0,705;0,705
270;hard_sigmoid;30;6;5;0;0,720;0,714;0,711
271;hard_sigmoid;30;6;5;0,1;0,717;0,715;0,714
272;hard_sigmoid;30;6;5;0,2;0,710;0,701;0,696
273;relu;30;6;5;0;0,716;0,710;0,707
274;relu;30;6;5;0,1;0,713;0,712;0,711
275;relu;30;6;5;0,2;0,714;0,702;0,697
276;tanh;60;6;5;0;0,687;0,674;0,667
277;tanh;60;6;5;0,1;0,707;0,698;0,694
278;tanh;60;6;5;0,2;0,703;0,695;0,692
279;sigmoid;60;6;5;0;0,724;0,717;0,714
280;sigmoid;60;6;5;0,1;0,724;0,723;0,722
281;sigmoid;60;6;5;0,2;0,720;0,713;0,711
282;hard_sigmoid;60;6;5;0;0,711;0,710;0,710
283;hard_sigmoid;60;6;5;0,1;0,725;0,718;0,715
284;hard_sigmoid;60;6;5;0,2;0,709;0,694;0,687
285;relu;60;6;5;0;0,724;0,705;0,697
286;relu;60;6;5;0,1;0,718;0,717;0,717
287;relu;60;6;5;0,2;0,704;0,703;0,702
288;tanh;15;10;5;0;0,710;0,704;0,701
289;tanh;15;10;5;0,1;0,703;0,701;0,700
290;tanh;15;10;5;0,2;0,693;0,686;0,681
291;sigmoid;15;10;5;0;0,721;0,721;0,721
292;sigmoid;15;10;5;0,1;0,717;0,711;0,708
293;sigmoid;15;10;5;0,2;0,716;0,716;0,715
294;hard_sigmoid;15;10;5;0;0,729;0,729;0,729
295;hard_sigmoid;15;10;5;0,1;0,727;0,721;0,718
296;hard_sigmoid;15;10;5;0,2;0,712;0,702;0,697
297;relu;15;10;5;0;0,717;0,717;0,716
298;relu;15;10;5;0,1;0,724;0,716;0,713
299;relu;15;10;5;0,2;0,719;0,710;0,706
300;tanh;30;10;5;0;0,700;0,700;0,700
301;tanh;30;10;5;0,1;0,707;0,696;0,691
302;tanh;30;10;5;0,2;0,685;0,681;0,678
303;sigmoid;30;10;5;0;0,732;0,721;0,717
304;sigmoid;30;10;5;0,1;0,723;0,713;0,709
305;sigmoid;30;10;5;0,2;0,714;0,712;0,711
306;hard_sigmoid;30;10;5;0;0,732;0,725;0,722
307;hard_sigmoid;30;10;5;0,1;0,723;0,723;0,723
308;hard_sigmoid;30;10;5;0,2;0,708;0,697;0,692
309;relu;30;10;5;0;0,712;0,711;0,710
310;relu;30;10;5;0,1;0,720;0,701;0,693
311;relu;30;10;5;0,2;0,708;0,702;0,699
312;tanh;60;10;5;0;0,706;0,705;0,705
313;tanh;60;10;5;0,1;0,701;0,700;0,699
314;tanh;60;10;5;0,2;0,704;0,702;0,702
315;sigmoid;60;10;5;0;0,724;0,724;0,724
316;sigmoid;60;10;5;0,1;0,725;0,722;0,721
317;sigmoid;60;10;5;0,2;0,710;0,699;0,694
318;hard_sigmoid;60;10;5;0;0,732;0,718;0,713
319;hard_sigmoid;60;10;5;0,1;0,721;0,704;0,697
320;hard_sigmoid;60;10;5;0,2;0,716;0,704;0,698
321;relu;60;10;5;0;0,710;0,709;0,708
322;relu;60;10;5;0,1;0,718;0,718;0,717
323;relu;60;10;5;0,2;0,713;0,705;0,702
